timestamp_utc,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,DISTANCE_W_MIL,THROTTLE_POS_B
2026-05-11T13:48:17+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",39.21568627450981 percent,90 degree_Celsius,-1.5625 percent,9.375 percent,48 kilopascal,809.0 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,74 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.55 volt,0.72 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:23+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606 percent,90 degree_Celsius,0.78125 percent,9.375 percent,47 kilopascal,795.75 revolutions_per_minute,0.0 kilometer_per_hour,0.5 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.09 volt,0.73 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:27+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,90 degree_Celsius,-1.5625 percent,9.375 percent,48 kilopascal,801.25 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.12 volt,0.72 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:30+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,90 degree_Celsius,0.0 percent,9.375 percent,47 kilopascal,806.0 revolutions_per_minute,0.0 kilometer_per_hour,3.5 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.1 volt,0.72 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:34+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,90 degree_Celsius,0.0 percent,9.375 percent,47 kilopascal,806.0 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,75 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.13 volt,0.72 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:48:38+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606 percent,90 degree_Celsius,0.0 percent,9.375 percent,47 kilopascal,809.75 revolutions_per_minute,0.0 kilometer_per_hour,1.5 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.1 volt,0.725 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:41+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,90 degree_Celsius,1.5625 percent,9.375 percent,47 kilopascal,795.5 revolutions_per_minute,0.0 kilometer_per_hour,1.5 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.145 volt,0.725 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:48:45+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606 percent,90 degree_Celsius,-2.34375 percent,9.375 percent,47 kilopascal,788.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.675 volt,0.735 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:49+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606 percent,90 degree_Celsius,0.78125 percent,9.375 percent,46 kilopascal,791.0 revolutions_per_minute,0.0 kilometer_per_hour,3.5 degree,75 degree_Celsius,14.509803921568627 percent,"((), (False, False, False, False), (False, False, True, True))",0.115 volt,0.795 volt,EOBD (Europe),0.0 kilometer,14.901960784313726 percent
2026-05-11T13:48:53+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",64.70588235294117 percent,90 degree_Celsius,-7.03125 percent,9.375 percent,70 kilopascal,1713.5 revolutions_per_minute,12.0 kilometer_per_hour,14.0 degree,75 degree_Celsius,21.176470588235293 percent,"((), (False, False, False, False), (False, False, True, True))",0.075 volt,0.71 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:48:56+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",94.50980392156863 percent,90 degree_Celsius,-4.6875 percent,9.375 percent,80 kilopascal,1924.25 revolutions_per_minute,25.0 kilometer_per_hour,12.0 degree,75 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.05 volt,0.04 volt,EOBD (Europe),0.0 kilometer,14.509803921568627 percent
2026-05-11T13:49:00+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",32.94117647058823 percent,89 degree_Celsius,0.0 percent,9.375 percent,37 kilopascal,1295.5 revolutions_per_minute,24.0 kilometer_per_hour,13.5 degree,75 degree_Celsius,15.294117647058824 percent,"((), (False, False, False, False), (False, False, True, True))",0.12 volt,0.17 volt,EOBD (Europe),0.0 kilometer,14.509803921568627 percent
2026-05-11T13:49:04+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",66.27450980392157 percent,89 degree_Celsius,-4.6875 percent,9.375 percent,99 kilopascal,1508.0 revolutions_per_minute,28.0 kilometer_per_hour,3.0 degree,75 degree_Celsius,16.470588235294116 percent,"((), (False, False, False, False), (False, False, True, True))",0.01 volt,0.575 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:49:07+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",29.41176470588235 percent,90 degree_Celsius,0.0 percent,9.375 percent,36 kilopascal,923.25 revolutions_per_minute,19.0 kilometer_per_hour,5.0 degree,75 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.635 volt,0.475 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
